,tweet,verified,created_at,location,favourites,retweets
98,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/toiPMRpW54",False,2021-08-15 13:58:03,"กรุงเทพมหานคร, ประเทศไทย",0,1
99,#popcat ได้ใจฉันไปในวันนี้ https://t.co/zZTEZCZMwy,False,2021-08-15 13:58:06,ประเทศไทย,0,0
102,"タイのバイタク兄ちゃん、POPCATやり過ぎでしょ(笑)
#popcat",False,2021-08-15 13:58:15,Unity,2,0
101,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/tSZnty2lFr",False,2021-08-15 13:58:15,"กรุงเทพมหานคร, ประเทศไทย",0,1
100,"ในหัวตอนนี้คือ ที่1แล้วไงต่อ อะไรที่ไม่ไช่ในนามรัฐบาลก็คือทำได้ดีอ่ะจริงๆ 
 #popcat",False,2021-08-15 13:58:15,"กรุงเทพมหานคร, ประเทศไทย",0,0
103,คนไทยเข้าpopdogไม่ได้5555555(555แต่มีนำ้ตาซ่อนอยู่)#popdog #popcat,False,2021-08-15 13:58:17,,0,1
104,แผ่วบ้างคนไทย5555 #popcat,False,2021-08-15 13:58:22,กวังยา,1,0
105,"「請其他國家不要以為我們作弊喔，因為我們政府太爛，我們有太多人失業在家了」

「我們沒別的事情可以做了，只能點貓咪」

「我們政府訓練過我們怎麼點了（附圖是泰國政府在疫情期間推出的各種粗劣app）」

「第一名的獎品可以是新的政府… https://t.co/P1bjmqAr4E",False,2021-08-15 13:58:24,,14,20
106,ชั้นจะดูว่ามันจะไปจบที่ตรงไหน แต่ตอนนี้นิ้วล็อคแล้วค่ะ😂  #popcat,False,2021-08-15 13:58:26,,0,0
107,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/Vsx27a8d5q",False,2021-08-15 13:58:26,"กรุงเทพมหานคร, ประเทศไทย",0,1
108,อ๊อยยยแก555555555 #popcat https://t.co/oKP41KTyHU,False,2021-08-15 13:58:34,,4,5
109,"We Thai people can join forces to win everything.  But you know?, there's one thing we haven't won yet.  is to call… https://t.co/TJZNWs3phX",False,2021-08-15 13:58:35,,1,7
110,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/xSiEkzGtdX",False,2021-08-15 13:58:36,"กรุงเทพมหานคร, ประเทศไทย",0,1
111,@dyre_net @BinanceChain @binance #popcat #Kabul #oeabt2021 #Taliban #AfghanistanBurning #Afghanistan #Lorch #MotoGP #NEVERLAND_LOVES_SOOJIN,False,2021-08-15 13:58:39,,0,0
112,น้อลลลล เมื่อยปากไหมลุก อ้าปากไปทั่วโลกเลยยยยย #popcat,False,2021-08-15 13:58:43,BKK Thailand,0,0
113,อิดอก หมานอนอยู่545667 #popcat #popdog https://t.co/YQt94jGjVV,False,2021-08-15 13:58:43,𝗇𝗈𝗍 𝖿𝗈𝗎𝗇𝖽 𝗎,1,3
114,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/8TQW4bq0Gs",False,2021-08-15 13:58:44,"กรุงเทพมหานคร, ประเทศไทย",0,1
